x,mux,dmux,rel_dmux,direct_fx,compos_fx,p_direct_fx,p_compos_fx
0,5.3e-04,-7.8e-04,-1.46,-7.5e-04,-2.5e-05,0.97,0.03
1,1.8e-04,-1.3e-04,-0.74,-1.3e-04,-3.1e-06,0.98,0.02
24,4.1e-06,-2.0e-07,-0.05,-2.0e-07,-7.5e-10,1.00,0.00
168,8.8e-07,-1.6e-09,-0.00,-1.6e-09,-1.9e-11,0.99,0.01
731,3.6e-07,-1.7e-10,-0.00,-1.6e-10,-2.0e-12,0.99,0.01
0,5.3e-04,-7.8e-04,-1.46,-7.5e-04,-2.3e-05,0.97,0.03
1,1.8e-04,-1.3e-04,-0.74,-1.3e-04,-2.8e-06,0.98,0.02
24,4.1e-06,-2.0e-07,-0.05,-2.0e-07,-6.9e-10,1.00,0.00
168,9.0e-07,-1.7e-09,-0.00,-1.7e-09,-1.6e-11,0.99,0.01
731,3.6e-07,-1.7e-10,-0.00,-1.7e-10,-1.6e-12,0.99,0.01
0,5.4e-04,-7.4e-04,-1.37,-6.7e-04,-7.1e-05,0.90,0.10
1,1.5e-04,-1.2e-04,-0.81,-1.2e-04,-5.3e-06,0.96,0.04
24,3.9e-06,-2.0e-07,-0.05,-1.9e-07,-8.5e-10,1.00,0.00
168,9.3e-07,-1.5e-09,-0.00,-1.5e-09,-9.4e-12,0.99,0.01
731,3.8e-07,-1.9e-10,-0.00,-1.9e-10,-6.6e-13,1.00,0.00
0,5.3e-04,-7.6e-04,-1.44,-7.6e-04,-3.6e-07,1.00,0.00
1,1.9e-04,-1.4e-04,-0.74,-1.4e-04,-4.7e-08,1.00,0.00
24,4.5e-06,-2.3e-07,-0.05,-2.3e-07,-5.3e-11,1.00,0.00
168,9.8e-07,-1.5e-09,-0.00,-1.5e-09,-9.6e-13,1.00,0.00
731,3.9e-07,-2.0e-10,-0.00,-2.0e-10,-6.5e-14,1.00,0.00
0,5.3e-04,-7.6e-04,-1.44,-7.6e-04,-2.9e-07,1.00,0.00
1,1.9e-04,-1.4e-04,-0.74,-1.4e-04,-3.8e-08,1.00,0.00
24,4.5e-06,-2.3e-07,-0.05,-2.3e-07,-1.4e-11,1.00,0.00
168,9.8e-07,-1.6e-09,-0.00,-1.6e-09,-5.2e-13,1.00,0.00
731,3.9e-07,-2.0e-10,-0.00,-2.0e-10,-4.5e-14,1.00,0.00
0,5.3e-04,-7.6e-04,-1.44,-7.6e-04,-3.8e-10,1.00,0.00
1,1.9e-04,-1.4e-04,-0.74,-1.4e-04,-3.2e-11,1.00,0.00
24,4.6e-06,-2.3e-07,-0.05,-2.3e-07,-9.8e-15,1.00,0.00
168,9.8e-07,-1.6e-09,-0.00,-1.6e-09,-4.0e-15,1.00,0.00
731,3.9e-07,-2.0e-10,-0.00,-2.0e-10,-8.6e-17,1.00,0.00
0,5.3e-04,-7.6e-04,-1.44,-7.6e-04,-2.2e-09,1.00,0.00
1,1.9e-04,-1.4e-04,-0.74,-1.4e-04,-2.5e-10,1.00,0.00
24,4.6e-06,-2.3e-07,-0.05,-2.3e-07,-2.7e-13,1.00,0.00
168,9.8e-07,-1.6e-09,-0.00,-1.6e-09,-4.6e-15,1.00,0.00
731,3.9e-07,-2.0e-10,-0.00,-2.0e-10,-7.3e-16,1.00,0.00
0,5.3e-04,-7.6e-04,-1.44,-7.6e-04,-4.4e-09,1.00,0.00
1,1.9e-04,-1.4e-04,-0.74,-1.4e-04,-5.8e-10,1.00,0.00
24,4.6e-06,-2.3e-07,-0.05,-2.3e-07,-4.7e-13,1.00,0.00
168,9.8e-07,-1.6e-09,-0.00,-1.6e-09,-1.8e-14,1.00,0.00
731,3.9e-07,-2.0e-10,-0.00,-2.0e-10,-7.9e-15,1.00,0.00
0,5.3e-04,-7.6e-04,-1.44,-7.6e-04,-5.7e-08,1.00,0.00
1,1.9e-04,-1.4e-04,-0.74,-1.4e-04,-8.7e-09,1.00,0.00
24,4.6e-06,-2.3e-07,-0.05,-2.3e-07,-3.6e-12,1.00,0.00
168,9.8e-07,-1.6e-09,-0.00,-1.6e-09,-8.6e-14,1.00,0.00
731,3.9e-07,-2.0e-10,-0.00,-2.0e-10,-2.9e-14,1.00,0.00
0,5.3e-04,-7.6e-04,-1.44,-7.6e-04,-1.3e-08,1.00,0.00
1,1.9e-04,-1.4e-04,-0.74,-1.4e-04,-2.0e-09,1.00,0.00
24,4.6e-06,-2.3e-07,-0.05,-2.3e-07,-1.0e-12,1.00,0.00
168,9.8e-07,-1.6e-09,-0.00,-1.6e-09,-2.7e-14,1.00,0.00
731,3.9e-07,-2.0e-10,-0.00,-2.0e-10,-1.9e-14,1.00,0.00
0,5.3e-04,-7.6e-04,-1.44,-7.6e-04,-7.6e-09,1.00,0.00
1,1.9e-04,-1.4e-04,-0.74,-1.4e-04,-1.1e-09,1.00,0.00
24,4.6e-06,-2.3e-07,-0.05,-2.3e-07,-1.3e-12,1.00,0.00
168,9.8e-07,-1.6e-09,-0.00,-1.6e-09,-7.9e-14,1.00,0.00
731,3.9e-07,-2.0e-10,-0.00,-2.0e-10,-6.7e-15,1.00,0.00
0,5.3e-04,-7.6e-04,-1.44,-7.6e-04,-4.0e-09,1.00,0.00
1,1.9e-04,-1.4e-04,-0.74,-1.4e-04,-5.7e-10,1.00,0.00
24,4.6e-06,-2.3e-07,-0.05,-2.3e-07,-2.8e-13,1.00,0.00
168,9.8e-07,-1.6e-09,-0.00,-1.6e-09,-2.0e-14,1.00,0.00
731,3.9e-07,-2.0e-10,-0.00,-2.0e-10,-6.4e-15,1.00,0.00
0,5.3e-04,-7.6e-04,-1.44,-7.6e-04,-1.8e-09,1.00,0.00
1,1.9e-04,-1.4e-04,-0.74,-1.4e-04,-1.9e-10,1.00,0.00
24,4.6e-06,-2.3e-07,-0.05,-2.3e-07,-1.4e-13,1.00,0.00
168,9.8e-07,-1.6e-09,-0.00,-1.6e-09,-1.5e-14,1.00,0.00
731,3.9e-07,-2.0e-10,-0.00,-2.0e-10,-7.6e-15,1.00,0.00
